ส่วนสูง_cm,น้ำหนัก_kg,สัญชาติ
165,60,ไทย
170,75,ไทย
158,52,ไทย
175,80,ไทย
160,55,ไทย
180,85,ไทย
163,58,ไทย
168,65,ไทย
155,50,ไทย
172,70,ไทย
166,62,ไทย
173,78,ไทย
159,53,ไทย
178,82,ไทย
161,56,ไทย
182,88,ไทย
164,59,ไทย
169,68,ไทย
156,51,ไทย
174,72,ไทย
167,63,ไทย
171,76,ไทย
157,54,ไทย
176,81,ไทย
162,57,ไทย
179,84,ไทย
165,61,ไทย
170,74,ไทย
158,52,ไทย
175,79,ไทย
160,55,ไทย
180,86,ไทย
163,58,ไทย
168,66,ไทย
155,49,ไทย
172,71,ไทย
166,64,ไทย
173,77,ไทย
159,53,ไทย
178,83,ไทย
161,56,ไทย
182,87,ไทย
164,60,ไทย
169,67,ไทย
156,50,ไทย
174,73,ไทย
167,62,ไทย
171,75,ไทย
157,54,ไทย
176,80,ไทย
175,70,ฝรั่งเศส
180,85,ฝรั่งเศส
168,62,ฝรั่งเศส
190,95,ฝรั่งเศส
170,65,ฝรั่งเศส
185,90,ฝรั่งเศส
172,68,ฝรั่งเศส
178,78,ฝรั่งเศส
165,58,ฝรั่งเศส
182,80,ฝรั่งเศส
176,72,ฝรั่งเศส
183,88,ฝรั่งเศส
169,60,ฝรั่งเศส
188,92,ฝรั่งเศส
171,66,ฝรั่งเศส
192,98,ฝรั่งเศส
173,69,ฝรั่งเศส
179,81,ฝรั่งเศส
166,59,ฝรั่งเศส
184,84,ฝรั่งเศส
177,75,ฝรั่งเศส
181,86,ฝรั่งเศส
167,61,ฝรั่งเศส
186,89,ฝรั่งเศส
174,71,ฝรั่งเศส
189,93,ฝรั่งเศส
175,73,ฝรั่งเศส
180,84,ฝรั่งเศส
168,63,ฝรั่งเศส
190,96,ฝรั่งเศส
170,67,ฝรั่งเศส
185,91,ฝรั่งเศส
172,68,ฝรั่งเศส
178,79,ฝรั่งเศส
165,57,ฝรั่งเศส
182,82,ฝรั่งเศส
176,74,ฝรั่งเศส
183,87,ฝรั่งเศส
169,60,ฝรั่งเศส
188,94,ฝรั่งเศส
171,65,ฝรั่งเศส
192,97,ฝรั่งเศส
173,70,ฝรั่งเศส
179,80,ฝรั่งเศส
166,58,ฝรั่งเศส
184,85,ฝรั่งเศส
177,76,ฝรั่งเศส
181,87,ฝรั่งเศส
167,62,ฝรั่งเศส
186,88,ฝรั่งเศส
168,62,จีน
172,70,จีน
160,55,จีน
175,75,จีน
162,58,จีน
178,80,จีน
165,60,จีน
170,68,จีน
158,53,จีน
173,72,จีน
169,63,จีน
174,77,จีน
161,56,จีน
177,79,จีน
163,59,จีน
180,82,จีน
166,61,จีน
171,69,จีน
159,54,จีน
176,76,จีน
167,64,จีน
172,71,จีน
160,57,จีน
175,78,จีน
162,59,จีน
178,81,จีน
165,62,จีน
170,70,จีน
158,54,จีน
173,73,จีน
169,65,จีน
174,78,จีน
161,55,จีน
177,80,จีน
163,60,จีน
180,83,จีน
166,63,จีน
171,70,จีน
159,53,จีน
176,77,จีน
167,65,จีน
172,72,จีน
160,56,จีน
175,79,จีน
162,60,จีน
178,82,จีน
165,61,จีน
170,69,จีน
158,55,จีน
173,74,จีน
