ส่วนสูง_cm,น้ำหนัก_kg,สัญชาติ
165,58,ไทย
170,70,ไทย
158,50,ไทย
175,76,ไทย
160,53,ไทย
178,79,ไทย
163,56,ไทย
168,64,ไทย
157,49,ไทย
172,71,ไทย
166,60,ไทย
173,72,ไทย
159,52,ไทย
179,80,ไทย
161,54,ไทย
177,75,ไทย
164,57,ไทย
169,66,ไทย
157,48,ไทย
174,73,ไทย
167,61,ไทย
171,69,ไทย
158,51,ไทย
176,77,ไทย
162,55,ไทย
178,78,ไทย
165,59,ไทย
170,72,ไทย
158,51,ไทย
175,77,ไทย
160,54,ไทย
179,81,ไทย
163,57,ไทย
168,65,ไทย
157,47,ไทย
172,70,ไทย
166,61,ไทย
173,73,ไทย
159,53,ไทย
179,82,ไทย
161,56,ไทย
177,76,ไทย
164,58,ไทย
169,67,ไทย
157,49,ไทย
174,74,ไทย
167,62,ไทย
171,70,ไทย
158,52,ไทย
176,78,ไทย
175,72,ฝรั่งเศส
180,84,ฝรั่งเศส
168,65,ฝรั่งเศส
190,98,ฝรั่งเศส
170,68,ฝรั่งเศส
185,90,ฝรั่งเศส
172,71,ฝรั่งเศส
178,80,ฝรั่งเศส
165,60,ฝรั่งเศส
182,82,ฝรั่งเศส
176,74,ฝรั่งเศส
183,87,ฝรั่งเศส
169,63,ฝรั่งเศส
188,94,ฝรั่งเศส
171,67,ฝรั่งเศส
192,99,ฝรั่งเศส
173,70,ฝรั่งเศส
179,81,ฝรั่งเศส
166,61,ฝรั่งเศส
184,86,ฝรั่งเศส
177,76,ฝรั่งเศส
181,85,ฝรั่งเศส
167,62,ฝรั่งเศส
186,88,ฝรั่งเศส
174,73,ฝรั่งเศส
189,92,ฝรั่งเศส
175,73,ฝรั่งเศส
180,83,ฝรั่งเศส
168,64,ฝรั่งเศส
190,97,ฝรั่งเศส
170,69,ฝรั่งเศส
185,89,ฝรั่งเศส
172,70,ฝรั่งเศส
178,79,ฝรั่งเศส
165,59,ฝรั่งเศส
182,83,ฝรั่งเศส
176,75,ฝรั่งเศส
183,86,ฝรั่งเศส
169,64,ฝรั่งเศส
188,93,ฝรั่งเศส
171,68,ฝรั่งเศส
192,100,ฝรั่งเศส
173,71,ฝรั่งเศส
179,82,ฝรั่งเศส
166,62,ฝรั่งเศส
184,87,ฝรั่งเศส
177,77,ฝรั่งเศส
181,86,ฝรั่งเศส
167,63,ฝรั่งเศส
186,89,ฝรั่งเศส
188,83,เนเธอร์แลนด์
193,95,เนเธอร์แลนด์
181,73,เนเธอร์แลนด์
198,101,เนเธอร์แลนด์
183,78,เนเธอร์แลนด์
195,98,เนเธอร์แลนด์
185,81,เนเธอร์แลนด์
191,91,เนเธอร์แลนด์
178,71,เนเธอร์แลนด์
190,93,เนเธอร์แลนด์
189,86,เนเธอร์แลนด์
194,97,เนเธอร์แลนด์
182,75,เนเธอร์แลนด์
196,99,เนเธอร์แลนด์
184,79,เนเธอร์แลนด์
197,100,เนเธอร์แลนด์
186,83,เนเธอร์แลนด์
192,94,เนเธอร์แลนด์
179,72,เนเธอร์แลนด์
187,88,เนเธอร์แลนด์
188,85,เนเธอร์แลนด์
193,96,เนเธอร์แลนด์
181,74,เนเธอร์แลนด์
198,102,เนเธอร์แลนด์
183,80,เนเธอร์แลนด์
195,99,เนเธอร์แลนด์
185,82,เนเธอร์แลนด์
191,92,เนเธอร์แลนด์
178,72,เนเธอร์แลนด์
190,94,เนเธอร์แลนด์
189,87,เนเธอร์แลนด์
194,98,เนเธอร์แลนด์
182,76,เนเธอร์แลนด์
196,100,เนเธอร์แลนด์
184,80,เนเธอร์แลนด์
197,101,เนเธอร์แลนด์
186,84,เนเธอร์แลนด์
192,95,เนเธอร์แลนด์
179,73,เนเธอร์แลนด์
187,89,เนเธอร์แลนด์
188,86,เนเธอร์แลนด์
193,97,เนเธอร์แลนด์
181,75,เนเธอร์แลนด์
198,103,เนเธอร์แลนด์
183,81,เนเธอร์แลนด์
195,100,เนเธอร์แลนด์
185,83,เนเธอร์แลนด์
191,93,เนเธอร์แลนด์
178,73,เนเธอร์แลนด์
190,95,เนเธอร์แลนด์
